username,Numero_tuits,score,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
esther_mtz03,2,2.5316455696202533,Esther Martínez,,"Originaria de Teteles de Ávila Castillo, Puebla,Luchadora social e integrante de la UTC A.C. y Tisentekitli A.C.Coordinadora Estatal del PT Puebla.",48,True ,JUNTOS HACEMOS HISTORIA,PUEBLA,ESTHER MARTINEZ ROMANO,44
ivonneop,2,2.5316455696202533,Ivonne Ortega,,"Mexicana, madre, profesionista y política mexicana. Lucho por México, su gente y sus causas.",382195,True ,MOVIMIENTO CIUDADANO,NACIONAL,IVONNE ARACELLY ORTEGA PACHECO,48
albertobatun_,2,2.5316455696202533,Alberto Batun Chulim,"cancún, Q. Roo","Presidente CEM Morena Benito Juarez Q. Roo. Lic. Derecho, Comerciante, solo aquel que ha vivido como la mayoría del pueblo puede hacer el cambio.",2926,True ,JUNTOS HACEMOS HISTORIA,QUINTANA ROO,WILLBERT ALBERTO BATUN CHULIM,41
manuelantunez,2,2.5316455696202533,Manuel Antúnez O.,,Delegado Nacional  de Movimiento Ciudadano para Michoacán,1489,True ,MOVIMIENTO CIUDADANO,NACIONAL,LUIS MANUEL ANTUNEZ OVIEDO,74
jorgeromerogto,2,2.5316455696202533,JORGE ROMERO,"IRAPUATO, GTO.",#Irapuato🍓 #Silao🗳 Diputado Federal Electo 🎖1 récord guinness🇲🇽Consejero Nacional de @accionnacional,5086,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,JORGE ALBERTO ROMERO VAZQUEZ,34
cioac_fov,2,2.5316455696202533,Federico Ovalle Vaquera,,"Secretario General de la @CIOAC_ | Ex Diputado local y Federal. Luchador social, demócrata y militante de la izquierda",254,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,FEDERICO OVALLE VAQUERA,66
espejohernandez,2,2.5316455696202533,Rosa María Hernández Espejo🌹,"Veracruz, Mexico","Mujer, humanista, periodista y académica. Totalmente entregada y enamorada de #Veracruz #ConElPuebloTodoSinElPuebloNada #EsUnHonorEstarConObrador",2456,True ,JUNTOS HACEMOS HISTORIA,VERACRUZ,ROSA HERNANDEZ ESPEJO,59
beatrizroblesgs,2,2.5316455696202533,Beatriz Robles,Querétaro,Mujer | diputada federal del distrito 03 de Querétaro | Comprometida con la 4T |  @PartidoMorenaMx,8274,True ,JUNTOS HACEMOS HISTORIA,QUERÉTARO,BEATRIZ SILVIA ROBLES GUTIERREZ,56
trackcoverflow,2,2.5316455696202533,Track CoverFlow,"Durango, Dgo 🦂",Música | Covers | Noticias | Humor | Efemérides 🥁-🎹-🎤-🎸-🎧-🔊-🎻-🎷-🎺,353,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,JOSE DIDIER RIOS JIMENEZ,28
vanconstruyendo,2,2.5316455696202533,Vane del Castillo,,,866,True ,MORENA,CIUDAD DE MÉXICO,ERIKA VANESSA DEL CASTILLO IBARRA,42
valeriamorenop8,2,2.5316455696202533,Valeria Moreno Puebla,,"Abogada, fundadora de Quipiya, A. C.",72,True ,REDES SOCIALES PROGRESISTAS,PUEBLA,ESTEFANIA VALERIA MORENO FLORES,30
fematalfredo,1,1.2658227848101267,Alfredo Femat Bañuelos,"Zacatecas, México","Diputado Federal, Presidente de la Comisión de Relaciones Exteriores. Comisionado Político Nacional del PT en Zacatecas. Ex diputado local, ex rector de la UAZ.",1110,False ,JUNTOS HACEMOS HISTORIA,ZACATECAS,ALFREDO FEMAT BAÑUELOS,60
juanmoreno_haro,1,1.2658227848101267,JUAN MORENO DE HARO,DURANGO,"Soy Juan, un joven apasionado por la política, el desarrollo personal, la jardinería y el senderismo     |Duranguense | Priista | ¡Estoy a tu disposición! ",|575,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,JUAN MORENO DE HARO,27
carmenjoaquinmx,1,1.2658227848101267,Carmen Joaquín,Caribe Mexicano,Empresaria. Mamá de 3. Quintanarroense 💛💙❤️ ExPresidente CPMX. Lic. en Admón. y Mtra. Comercio y Negocios Intl. Karateka y Pambolerísima. Sí Por México!,7775,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,MARIA DEL CARMEN JOAQUIN HERNANDEZ,46
luzbaxzi,1,1.2658227848101267,Luz Baxzi 💚,"Veracruz, Méx.","Mujer, veracruzana, profesionista, candidata a diputada federal por el Distrito 12. #lavozqueveracruznecesita. 🌻🌱🌳 PVEM",337,False ,JUNTOS HACEMOS HISTORIA,VERACRUZ,LUZ DEL CARMEN BAXZI GARCIA,37
eliperezv_,1,1.2658227848101267,Elizabeth Pérez,,"Secretaria Nacional de Asuntos Electorales y Política de Alianzas del @PRDMexico  mujer comprometida, trabajadora y compañera.",560,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,ELIZABETH PEREZ VALDEZ,43
name_alondra,1,1.2658227848101267,Alondra Name,"Playa del Carmen, Quintana Roo",Soy una mujer emprendedora enamorada de Quintana Roo y su gente. Comprometida con la #EquidadDeGénero y con el #Empoderamiento de las #Mujeres,261,False ,FUERZA POR MÉXICO,QUINTANA ROO,ALONDRA MARGARITA NAME RIOS,35
stuardollamas,1,1.2658227848101267,Stuardo Llamas,"Querétaro, Querétaro Arteaga",#GallosBlancos #Raiders Capitán del Black Side,4802,True ,FUERZA POR MÉXICO,QUERÉTARO,RAMON STUARDO LLAMAS SERVIN,46
palomasnchez,1,1.2658227848101267,Paloma Sánchez,"Mexico,D.F.",Sinaloense | Hija de la Carmelita y El Güero | Mtra. en Gobierno | Secretaria de Comunicación Institucional del @PRI_Nacional | Presidenta del @MovPRImxOficial,5188,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,PALOMA SANCHEZ RAMOS,35
eddiepalacios15,1,1.2658227848101267,EddiePalacios,"Acapulco de Juárez, Guerrero",Ponte verde !!!,188,False ,JUNTOS HACEMOS HISTORIA,GUERRERO,LUIS EDGARDO PALACIOS DIAZ,47
ale_lanuza,1,1.2658227848101267,Alejandrina Lanuza,"Salvatierra, Guanajuato","Candidata a Presidenta Salvatierra, Gto. #AlejandrinaSí",1516,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,KARLA ALEJANDRINA LANUZA HERNANDEZ,40
angelandariego1,1,1.2658227848101267,@angelandariego Angel Dominguez Escobar,,ingeniero Agrónomo Egresado del Instituto Tecnológico de La Cuenca del Papaloapan,168,False ,JUNTOS HACEMOS HISTORIA,OAXACA,ANGEL DOMINGUEZ ESCOBAR,42
jaramillovences,1,1.2658227848101267,David Jaramillo,"Amatepec, México",Pequeñas acciones cambian al mundo 😻😻😻,2833,True ,PARTIDO DEL TRABAJO,MÉXICO,DAVID JARAMILLO VENCES,29
hectorchavez,1,1.2658227848101267,Lic. Héctor Chávez,"Hidalgo del Parral, Chihuahua","Estudiante de Maestría en Administración Pública, Lic. Adm. Financiera, Lic. Derecho, Asesor @ Senado de la República",149,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,HECTOR TOMAS CHAVEZ DURAN,39
juliancahero,1,1.2658227848101267,Julián Cahero,"Mérida, Yucatán, México.",Hecho en la tierra del faisán y el venado. 🦚🦌,1694,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,JULIAN ALBERTO CAHERO CORTAZAR,32
ruthlugom,1,1.2658227848101267,RuthLugo,"Guanajuato, México","Vivo para la política y no de ella. Profesionista independiente.Maestra en Fiscal y Máster en Práctica Política, Dip. Fed. 2009-2012 y Dip.local 2006-2009.",990,False ,MORENA,GUANAJUATO,RUTH ESPERANZA LUGO MARTINEZ,53
vjorrin,1,1.2658227848101267,Víctor Jorrín,"Acapulco de Juárez, Guerrero","Psicólogo, Empresario y promotor de apoyos a la sociedad.",1461,True ,MOVIMIENTO CIUDADANO,GUERRERO,VICTOR MANUEL JORRIN LOZANO,66
jgerardoruizd,1,1.2658227848101267,Gerardo Ruiz,,"Orgullosamente Talense, padre de familia, comerciante y agricultor.",99,True ,MOVIMIENTO CIUDADANO,JALISCO,JUAN GERARDO RUIZ DELGADO,40
navorrojasm_,1,1.2658227848101267,Navor Rojas,,"Soy amigo, de todos ustedes!",157,False ,MORENA,HIDALGO,NAVOR ALBERTO ROJAS MANCERA,57
fatimaespinac,1,1.2658227848101267,Fátima Espina Coeto,"Puebla, México","Soy católica, mexicana y politóloga. “Totus tuus ego sum, et omnia mea tua sunt""",545,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,FATIMA ESPINA COETO,25
lulymtze,1,1.2658227848101267,Luly Martínez,"Cuencamé, Durango","Madre de 3 hermosos hijos, orgullosa de mi Tierra #Cuencamé y Presidenta Municipal de este hermoso Municipio",768,True ,VA POR MEXICO,DURANGO,MARIA DE LOURDES MARTINEZ ESPINOSA,50
joseluis_dip,1,1.2658227848101267,José Luis Barajas,,Vamos a impulsar un proyecto para mejorar la calidad de vida de Xochimilco y Milpa Alta #VaPorMexico,120,False ,VA POR MEXICO,CIUDAD DE MÉXICO,JOSE LUIS BARAJAS MEDINA,52
leobardo_alcala,1,1.2658227848101267,Dr. Leobardo Alcalá,Guadalajara,,11541,True ,VA POR MEXICO,JALISCO,LEOBARDO ALCALA PADILLA,60
josevictor_rdz,1,1.2658227848101267,José Víctor Rodríguez,Ciudad de México,José Víctor Rodríguez Nájera | Periodista -journalist- de investigación | Profesor en mi alma máter: la UNAM,13792,False ,REDES SOCIALES PROGRESISTAS,CIUDAD DE MÉXICO,JOSE VICTOR RODRIGUEZ NAJERA,45
gamezgamboa,1,1.2658227848101267,Froylán Gámez Gamboa,,"Sonorense, Economista y apasionado de México",599,True ,PARTIDO DEL TRABAJO,NACIONAL,FROYLAN GAMEZ GAMBOA,36
alelpz_m,1,1.2658227848101267,𝐀𝐥𝐞𝐱𝐚 ♏️,"Nuevo León, México",,234,True ,FUERZA POR MÉXICO,NUEVO LEÓN,DIBANHI ALEJANDRA LOPEZ MORENO,23
adams_zulema,1,1.2658227848101267,Zulema Adams,"Tecate, BC","Alcaldesa de Tecate, Baja California.Tecatense de nacimiento y corazón, activista, emprendedora, comprometida con la 4ta Transformación.",443,True ,MORENA,NACIONAL,OLGA ZULEMA ADAMS PEREYRA,50
rociocoronankm,1,1.2658227848101267,Rocio Corona Nakmura,"Guadalajara, México","Orgullosamente Tapatía, esposa y madre de familia. Hay 3 cosas en la vida que se van y no regresan: las palabras, el tiempo y las oportunidades.",7032,True ,JUNTOS HACEMOS HISTORIA,JALISCO,MARIA DEL ROCIO CORONA NAKAMURA,57
barbdelgadouc,1,1.2658227848101267,Bárbara Aylin Delgado,,"Quinta Regidora del H.Ayuntamiento de Solidaridad, Quintana Roo, México.Presidenta de la comisión edilicia de ecología, ambiente y protección animal y Turismo.",130,False ,MORENA,NACIONAL,BARBARA AYLIN DELGADO UC,25
lichugoleon,1,1.2658227848101267,Lic. Hugo Leon,,"Licenciado en Derecho, Director Cluster Gastro-Turistico de B.C.",125,False ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,BAJA CALIFORNIA,HUGO LEON VALLE,42
juanpablobevi,1,1.2658227848101267,Juan Pablo,"Distrito Federal, México","Mexicano 🇲🇽 Derecho ⚖️ No esperemos ver un cambio, si nosotros mismos no estamos haciendo algo al respecto. 📲 @juanpablobevi",767,False ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,JUAN PABLO BELTRAN VIGGIANO,24
pane28,1,1.2658227848101267,Pamela Medina,"Oaxaca de Juárez, Oaxaca",,56,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,DULCE PAMELA MEDINA GUTIERREZ,75
ciudadanochingn,1,1.2658227848101267,Isauro Ali,"Puebla, México.","ARTISTA CHINGÓN / Candidato a Diputado Federal Distrito 09 🧡🏃‍♂️, campeón de barrios bax 🥊 🥇 🇲🇽",211,True ,MOVIMIENTO CIUDADANO,PUEBLA,ISAURO ALI LOPEZ GUTIERREZ,35
jesusmariogarza,1,1.2658227848101267,Jesús Mario Garza,,Candidato a Diputado Federal Distrito 8,144,True ,MOVIMIENTO CIUDADANO,NUEVO LEÓN,JESUS MARIO GARZA GUEVARA,64
ordunohoracio,1,1.2658227848101267,Horacio Orduño Morales,,soy abogado parlamentario,15,False ,MORENA,NACIONAL,HORACIO ORDUÑO MORALES,63
diegoalanisa,1,1.2658227848101267,Diego Alanis,"Azcapotzalco, Distrito Federal",Politológo FCPyS| Originario de Azcapotzalco.,1174,False ,MORENA,NACIONAL,DIEGO ALANIS AGUILAR,26
molanomx,1,1.2658227848101267,Carlos Molano,"Tuxtla Gutiérrez, Chiapas",Presidente Municipal de Tuxtla Gutiérrez. 2018,1723,True ,VA POR MEXICO,CHIAPAS,CARLOS MOLANO ROBLES,51
charlotteglz,1,1.2658227848101267,Charlotte Glz,"Ramos Arizpe, Coahuila de Zaragoza","Madre, Esposa, Orgullosa Coahuilense",424,True ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,COAHUILA,MARTHA CHARLOTTE GONZALEZ MULLER,36
fertiscareno,1,1.2658227848101267,Fernando Tiscareño,"Chih, Méx.",,1565,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,FERNANDO BEDEL TISCAREÑO LUJAN,45
benjaminroblesm,1,1.2658227848101267,Benjamín Robles,"Oaxaca, México",#QueNadieQuedeFuera de la cuarta transformación de México. #SomosPT y #JuntosHacemosHistoria (55 48 80 17 33 celular),48159,True ,JUNTOS HACEMOS HISTORIA,OAXACA,ANGEL BENJAMIN ROBLES MONTOYA,61
mariaasencional,1,1.2658227848101267,Doña Mary,,Diputada Federal electa y luchadora social comprometida con las causas sociales de Tlajomulco.,127,True ,MOVIMIENTO CIUDADANO,JALISCO,MARIA ASENCION ALVAREZ SOLIS,70
pablogomez1968,1,1.2658227848101267,Pablo Gómez,"Coyoacán, Distrito Federal",Crítico del Estado y la sociedad. Diputado federal por el distrito 23 de Coyoacán. Miembro de Morena,37546,True ,JUNTOS HACEMOS HISTORIA,CIUDAD DE MÉXICO,PABLO GOMEZ ALVAREZ,74
blancaeppenc,1,1.2658227848101267,Blanca Eppen Canales,"Torreón, Coahuila. México.","Diputada Local por el distrito X en @CongresoDeCoah, militante en @AccionNacional.",136,True ,PARTIDO ACCIÓN NACIONAL,NACIONAL,BLANCA EPPEN CANALES,71
claunaval,1,1.2658227848101267,Claudia Nava S.,,"Mi pasión mi profesión,    Mi convicción la Educación.",21,False ,REDES SOCIALES PROGRESISTAS,NACIONAL,CLAUDIA LUCIA NAVA SERRANO,51
laranadialuz,1,1.2658227848101267,Nadia Luz Lara,"Morelos, México","Juzgadora por esencia. Ex presidenta del TSJMorelos y ex candidata a Gobernadora. Apasionada de mi tierra, orgullosa de mis orígenes#UnaLuzParaMorelos",1544,True ,FUERZA POR MÉXICO,MORELOS,NADIA LUZ MARIA LARA CHAVEZ,54
erikaatello_,1,1.2658227848101267,Erika Tello,"Tulancingo de Bravo, Hidalgo",Estudié Ciencia Política en el ITAM y hago marketing digital ⚡️,618,True ,MOVIMIENTO CIUDADANO,HIDALGO,ERIKA DEL CARMEN TELLO ARENAS,25
zairamontoyav,1,1.2658227848101267,Zaira Montoya,Estado Mexico,#ZairaMontoya,464,True ,VA POR MEXICO,MÉXICO,ZAIRA TAIDE MONTOYA VALENZUELA,35
