usuario	tuit_es	tuit_en	sentiment	emoji
 ZairaMontoyaV	" Sorprendente y felicidades para ellos!, pero a la vez frustrante para mi, debido a que el gobierno de MÉXICO actual de @lopezobrador_ @PartidoMorenaMx , va en retroceso con la energía sustentable y tecnología. #impotenciayverguenza https://t.co/Fu5zuT50pt
"	"Surprising and congratulations for them! But at the same time frustrating for me, because the current government of MEXICO of @lopezobrador_ @PartidoMorenaMx, is going backwards with sustainable energy and technology. #impotenciayverguenza https://t.co/Fu5zuT50pt
"	1	😀
 Auguscarlos40	" Esta tarde en nuestro recorrido por #Tecopilco saludamos a los vecinos y les compartí nuestro plan legislativo que contempla impulsar una sociedad tlaxcalteca, #próspera, #segura, #sostenible y #sustentable.  #CarlosAgustoDiputadoFederal #LaExperienciaGeneraGustoATlaxcala https://t.co/d2iZHMPlHA
"	"This afternoon in our tour of #Tecopilco we greeted the neighbors and I shared with them our legislative plan that contemplates promoting a Tlaxcala society, # prosperous, #secure, #sustainable and #sustentable. #CarlosAgustoDiputadoFederal #LaExperienciaGeneraGustoATlaxcala https://t.co/d2iZHMPlHA
"	1	😀
 Auguscarlos40	" Los efectos de la desertificación están vinculados a pobreza y a un impacto en el medio ambiente, por ello, legislaremos para consolidar programas que atiendan la reforestación y regeneración de especies arbóreas, así como la gestión de agua.  Por un Tlaxcala sustentable. 💪🏻 https://t.co/16nMXeFqd5
"	"The effects of desertification are linked to poverty and an impact on the environment, therefore, we will legislate to consolidate programs that address the reforestation and regeneration of tree species, as well as water management. For a sustainable Tlaxcala. 💪🏻 https://t.co/16nMXeFqd5
"	-1	😠
 Auguscarlos40	" Los desechos industriales, el uso de químicos, la deforestación, entre otros motivos, han provocado que exista agua contaminada para uso diario; por ello, legislaré en favor de actualizar la leyes y normas que nos permitan la disponibilidad, gestión y saneamiento de agua. 💧🚰 https://t.co/2jcRZsSPDM
"	"Industrial waste, the use of chemicals, deforestation, among other reasons, have led to contaminated water for daily use; Therefore, I will legislate in favor of updating the laws and regulations that allow us the availability, management and sanitation of water. 💧🚰 https://t.co/2jcRZsSPDM
"	1	😀
 Auguscarlos40	" ¡Contaminación del río Atoyac, un malestar para Tlaxcala!  Amigos de Guadalupe Victoria, en #Tepetitla, expresaron su malestar para dar atención a la contaminación del río Atoyac. Por eso me he comprometido para que a través de una legislación federal sea posible sanear los ríos. https://t.co/W3b6U2e0se
"	"Pollution of the Atoyac River, a discomfort for Tlaxcala! Friends of Guadalupe Victoria, in #Tepetitla, expressed their discomfort to pay attention to the contamination of the Atoyac river. That is why I have committed myself so that through federal legislation it is possible to clean up rivers. https://t.co/W3b6U2e0se
"	1	😀
 Auguscarlos40	" ""Más Allá de las Fronteras: Igualdad en la Ciencia para la Sociedad""  Con la adaptación y modificación de leyes será posible responder a las demandas y necesidades que se tienen en México. Solo así será posible que la #equidad y el impulso a la #ciencia sea una realidad 🤝🏻🫂 https://t.co/H4gIHiHxqq
"	"""Beyond Borders: Equality in Science for Society"" By adapting and modifying laws, it will be possible to respond to the demands and needs of Mexico. Only in this way will it be possible for #equity and the drive to #science to become a reality 🤝🏻🫂 https://t.co/H4gIHiHxqq
"	0	😐
 chavaespina3	" Tranquilos amigos, ya se va de todos modos. Así su trabajo de alcalde ya no le quitará tiempo para estar de activista  #ClaudiaSeVaEn2021 https://t.co/HSrjuDKs9z
"	"Easy friends, he's leaving anyway. So her work as mayor will no longer take time to be an activist # ClaudiaSeVaEn2021 https://t.co/HSrjuDKs9z
"	1	😀
 chavaespina3	" Espero estén felices los que aman el maldito calor... 5 de la tarde y casi 30° Frío llega YA 🔥🔥🌡️
"	"I hope those who love the damn heat are happy ... 5 in the afternoon and almost 30 ° Cold arrives NOW 🔥🔥🌡️
"	1	😀
 chavaespina3	" Espero estén contentos todos los que en noviembre y diciembre andaban con que regresara el calor... 🙄🙄🙄 #OdioelCalor ☀️
"	"I hope all those who in November and December were happy with the return of the heat ... 🙄🙄🙄 #OdioelCalor ☀️
"	1	😀
 carmenjoaquinmx	" El desinterés de éste gobierno en la política ambiental, sus megaobras y proyectos exponen la salud de los ciudadanos en plena pandemia, además de poner en peligro a la flora y fauna así como sus bosques, agua y calidad de su aire. La solución empieza con tu voto. #DíaDeLaTierra https://t.co/AhYlf05XuX
"	"The disinterest of this government in environmental policy, its mega-works and projects expose the health of citizens in the midst of a pandemic, in addition to endangering flora and fauna as well as their forests, water and air quality. The solution begins with your vote. # DíaDeLaEarth https://t.co/AhYlf05XuX
"	1	😀
 LunaAlviso	" En esta contingencia sanitaria por #Covid_19🦠, nos ha sido necesario hacer uso del cubrebocas😷, como una medida de mitigación para contener los contagios por esta enfermedad.  Les comparto algunas medidas para hacer uso correcto del cubrebocas👍🏻.  #EstoyContigo✌🏻 https://t.co/HBnXkxyldM
"	"In this health contingency due to # Covid_19🦠, it has been necessary for us to make use of the mask como, as a mitigation measure to contain infections from this disease. I share some measures to make correct use of the mask👍🏻. #MeContigo✌🏻 https://t.co/HBnXkxyldM
"	1	😀
 MiguelArmentaRz	" No soy economista, ni pretendo serlo, pero el día de ayer comenté precisamente esto. México adquirió una deuda con EEUU por el tema del petróleo. Nunca. Jamás el Imperialismo Yanky “ayuda” sin obtener algo a cambio. No presta petróleo barato y lo cobrará caro. Quién gana? https://t.co/8qkzgDsbJV
"	"I am not an economist, nor do I pretend to be, but yesterday I commented on precisely this. Mexico acquired a debt with the US for the oil issue. Never. Never does Yanky Imperialism ""help"" without getting something in return. It does not lend cheap oil and it will charge for it dearly. Who wins? https://t.co/8qkzgDsbJV
"	1	😀
 MiguelArmentaRz	" @elbasiliogmas @kunfupanda2 @KOKKOZAMBRANO @SaulBeal @expresiongyms Que buena imagen. Identificó al Jorsh, al Miguel Haro, al Miguel Salas y al tremendo “Payin” mejor conocido como el Tigre del Tobarito. El activismo universitario de donde muchos salimos
"	"@elbasiliogmas @ kunfupanda2 @KOKKOZAMBRANO @SaulBeal @expresiongyms What a good image. He identified Jorsh, Miguel Haro, Miguel Salas and the tremendous “Payin” better known as El Tigre del Tobarito. University activism where many of us came from
"	1	😀
 MiguelArmentaRz	" Gran participación de mi amigo #DavidMeza de @GacetaN como expositor en nuestro taller de #LiderazgoJoven con el tema de Redes Sociales y Activismo Digital. Como siempre demostrando su profesionalismo. Gracias por ayudarnos a formar a nuestros cuadros. @AdrianaDiazPRD @julcamgra https://t.co/5PmtzSTqcK
"	"Great participation of my friend #DavidMeza from @GacetaN as an exhibitor in our #LiderazgoJoven workshop with the topic of Social Networks and Digital Activism. As always showing his professionalism. Thank you for helping us train our cadres. @AdrianaDiazPRD @julcamgra https://t.co/5PmtzSTqcK
"	1	😀
 MiguelArmentaRz	" Muy buena dinámica hicimos con nuestros amigos comunicadores @GacetaN @feroropeza20 @Chaposoto con el tema de Redes Sociales y Activismo Digital. Todo un éxito la verdad. Les agradezco enormemente haberme aceptado la invitación. #LiderazgoJoven @ReneNoriegaG @julcamgra https://t.co/7KMfdkUHKg
"	"We did very good dynamics with our communicator friends @GacetaN @ feroropeza20 @Chaposoto with the topic of Social Networks and Digital Activism. A great success indeed. I thank you very much for accepting the invitation. #LiderazgoJoven @ReneNoriegaG @julcamgra https://t.co/7KMfdkUHKg
"	1	😀
 MiguelArmentaRz	" Activismo digital y redes sociales con @feroropeza20 en taller de #LiderazgoJoven https://t.co/1H8wBuAR61
"	"Digital activism and social networks with @ feroropeza20 in #LiderazgoJoven workshop https://t.co/1H8wBuAR61
"	0	😐
 MiguelArmentaRz	" @RBoursC Órale. Que bien. Hay que cuida La biodiversidad tan amplía qué hay en su rancho
"	"@RBoursC Órale. How good. You have to take care of The biodiversity so widens what is on your ranch
"	1	😀
 HecMaldonado17	" Cálido recibimiento en #LaVenta convivimos con #AdultosMayores, #AmasDeCasa #Emprendedoras y hasta con un matrimonio comprometido con la #Reforestación. Somos una gran comunidad, vamos a construir un mejor futuro para las nuevas generaciones. #YoConMaldonado ✌🏽 https://t.co/I5KQ5CGfCa
"	"Warm reception at #LaVenta we live with #AdultosMayores, #MasDeCasa #Emprendedoras and even with a married couple committed to #Reforestation. We are a great community, we are going to build a better future for the new generations. #YoConMaldonado ✌🏽 https://t.co/I5KQ5CGfCa
"	1	😀
 HecMaldonado17	" Con el reciclado de 2 toneladas de plástico usado se ahorra 1 tonelada de petróleo bruto, gran cantidad de agua, y además conseguimos que disminuyan las emisiones de gases de efecto invernadero. Información para el planeta 🌏 #DiaMundialDelReciclaje https://t.co/W67ABdwkL6
"	"Recycling 2 tons of used plastic saves 1 ton of crude oil, a large amount of water, and we also reduce greenhouse gas emissions. Information for the planet 🌏 #DiaMundialDelReciclaje https://t.co/W67ABdwkL6
"	-1	😠
 HecMaldonado17	" Tenemos que estar informados y comprender  lo que está sucediendo en materia de #CambioClimático. La temporada de calor 🥵 cada vez es más intensa y platíquenme ¿a quién le tocó la granizada de anoche?.  #cuidadomedioambiente  https://t.co/a3dJKC3JMr
"	"We have to be informed and understand what is happening in terms of #ClimateChange. The hot season 🥵 is getting more intense and tell me who got the hailstorm last night? #cuidadomedioambiente https://t.co/a3dJKC3JMr
"	1	😀
 HecMaldonado17	" Entre los valiosos servicios ambientales que nos brindan las #barrancas podemos destacar captura de carbono, retención de partículas contaminantes y amortiguamiento del ruido, servicios sumamente importantes para un entorno como en el que vivimos. https://t.co/hwpQwbJ8yM
"	"Among the valuable environmental services that the #barrancas provide us, we can highlight carbon capture, retention of polluting particles and noise damping, services that are extremely important for an environment like the one in which we live. https://t.co/hwpQwbJ8yM
"	1	😀
 Hildalaura14	" @paulina073 La importancia de las diferentes maneras de demostrar afecto, llamadas, mensajes, no cambian el calor y la cercanía de un abrazo y un beso, de nuestra familia y amigos
"	"@ paulina073 The importance of the different ways of showing affection, calls, messages, do not change the warmth and closeness of a hug and a kiss, from our family and friends
"	1	😀
 scheimanflores	" Además, el petróleo no tarda en dejar de ser tan siquiera interesante para las super potencias, y aquí tienen el genio, construyendo Dos Bocas. Ah, y por cierto, la está construyendo sobre terreno inestable, propenso a inundaciones.
"	"In addition, oil does not take long to stop being even interesting for the super powers, and here you have the genius, building Dos Mouths. Oh, and by the way, he's building it on unstable, flood-prone ground.
"	1	😀
 MartinEsp_17	" Seguimos con mucha actividad,  presenté dos iniciativas  importantes para las y los ciudadanos en el @CanalCongreso. Una es sobre productos a granel para disminuir el impacto ambiental y otra es para apoyar la salud mental que es un sector olvidado en 🇲🇽. #ServirlesDeCorazón https://t.co/5jAE4lfHME
"	"We continue with a lot of activity, I presented two important initiatives for citizens in the @CanalCongreso. One is about bulk products to reduce environmental impact and another is to support mental health, which is a neglected sector in 🇲🇽. # ServelesDeCorazón https://t.co/5jAE4lfHME
"	0	😐
 MartinEsp_17	" Me reuní con empresarios de Cámara de Comercio, a fin de implementar acciones de reforestación, cuidado y protección del medio ambiente, sobre todo en nuestra Sierra del Tigre.  Iniciaremos pronto con el apoyo de  varios Organismos Públicos Descentralizados.  #servirlesdecorazon https://t.co/rs4XPO8gng
"	"I met with businessmen from the Chamber of Commerce, in order to implement actions of reforestation, care and protection of the environment, especially in our Sierra del Tigre. We will start soon with the support of several Decentralized Public Organizations. #servirlesdecorazon https://t.co/rs4XPO8gng
"	1	😀
 MartinEsp_17	" Me encuentro en interesante conferencia impartida por José Ángel Gurría, Srio, Gral. de la OCDE, quien nos motiva a legislar en pro de un México más sustentable. Ojalá que los aquí presentes entendamos la urgencia de crear políticas públicas que verdaderamente sirvan a la gente. https://t.co/QZwADZQNBk
"	"I am in an interesting conference given by José Ángel Gurría, Srio, General of the OECD, who motivates us to legislate for a more sustainable Mexico. May we here understand the urgency of creating public policies that truly serve the people. https://t.co/QZwADZQNBk
"	1	😀
 MartinEsp_17	" Nos estamos acabando el mundo y es tarea de todas y de todos contribuir para detener el deterioro ambiental y trabajar al máximo y con buena voluntad para restaurarlo. Demostremos con buenas acciones cuanto y como queremos vivir y heredar un mundo más sano.  #ServirlesDeCorazon https://t.co/U09BW5bRjT
"	"We are ending the world and it is everyone's task to contribute to stop environmental deterioration and to work to the maximum and with good will to restore it. Let us demonstrate with good actions how much and how we want to live and inherit a healthier world. #ServirlesDeCorazon https://t.co/U09BW5bRjT
"	1	😀
 MartinEsp_17	" Agradezco el apoyo y respaldo de mis compañer@s diputad@s para realizar con gran éxito el foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"". Los participantes les dejan su gratitud y solicitud de luchar por los municipios de todo 🇲🇽. https://t.co/n1SMvQkIti
"	"I am grateful for the support and backing of my fellow deputies to hold the forum ""United for the sustainable development of Lake Chapala and municipal strengthening"" with great success. The participants leave their gratitude and request to them to fight for the municipalities of all 🇲🇽. https://t.co/n1SMvQkIti
"	1	😀
 MartinEsp_17	" Concluímos con gran éxito el foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"". Agradezco de todo corazón a tod@s y cada un@ de l@s participantes en el mismo pues hemos logrado avanzar en el objetivo principal.  #ServirlesDeCorazon https://t.co/qPZd85Zws4
"	"We concluded the forum ""United for the sustainable development of Lake Chapala and municipal strengthening"" with great success. I would like to thank everyone and each one of the participants in it since we have managed to advance in the main objective. #ServirlesDeCorazon https://t.co/qPZd85Zws4
"	1	😀
 MartinEsp_17	" Concluímos con gran éxito el foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"". Agradezco de todo corazón a tod@s y cada un@ de l@s participantes en el mismo pues... https://t.co/xoFWh85lzo
"	"We concluded the forum ""United for the sustainable development of Lake Chapala and municipal strengthening"" with great success. I thank everyone and each one of the participants in it with all my heart ... https://t.co/xoFWh85lzo
"	1	😀
 MartinEsp_17	" En rueda de prensa, presidentes municipales participantes en foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"", expusieron su problemática y exhortaron al Gobierno federal y al legislativo a mejorar sus presupuestos y sanear el Lago.🇲🇽 https://t.co/GkTjpfnbF4
"	"At a press conference, municipal presidents participating in the forum ""United for the sustainable development of Lake Chapala and municipal strengthening"", exposed their problems and urged the federal government and the legislature to improve their budgets and clean up the Lake. Https: //t.co/GkTjpfnbF4
"	1	😀
 MartinEsp_17	" Buen día, les comparto algunas imágenes del. Foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"", que estamos llevando a cabo en la Cámara de Diputados. Me alegra contar... https://t.co/qZkjUZNiMh
"	"Good morning, I share some images of the. Forum ""United for the sustainable development of Lake Chapala and municipal strengthening"", which we are carrying out in the Chamber of Deputies. Glad to tell ... https://t.co/qZkjUZNiMh
"	1	😀
 MartinEsp_17	" Hoy realizaremos el foro ""Unidos por el desarrollo sustentable del lago de Chapala y el fortalecimiento municipal"", esperamos participación de 29 municipios, Senadores, diputados federales y locales. La Causa es un municipio y  su medio ambiente sostenible. #ServirlesDeCorazon https://t.co/HLNwyWDBY5
"	"Today we will hold the forum ""United for the sustainable development of Lake Chapala and municipal strengthening"", we expect the participation of 29 municipalities, Senators, federal and local deputies. La Causa is a municipality and its environment sustainable. #ServirlesDeCorazon https://t.co/HLNwyWDBY5
"	1	😀
 MartinEsp_17	" 29 Presidentes Municipales de mi distrito 17 y del 15, e Integrantes de la AIPROMADES, nos visitarán para participar en el foro ""Unidos para el desarrollo sustentable del Lago de Chapala y el fortalecimiento municipal"". Juntos buscaremos buenos resultados. 🇲🇽 #ServirlesDeCorazon https://t.co/8qoGwSzQEh
"	"29 Municipal Presidents of my 17th and 15th district, and members of AIPROMADES, will visit us to participate in the forum ""United for the sustainable development of Lake Chapala and municipal strengthening."" Together we will seek good results. 🇲🇽 #ServirlesDeCorazon https://t.co/8qoGwSzQEh
"	1	😀
 MartinEsp_17	" Buen día amigas y amigos, acabo de hacer un exhorto al Gobierno Federal para que realice acciones inmediatas para la protección y conservación del jaguar.  Una especie emblemática de nuestro país 🇲🇽 que se encuentra en peligro de extinción.  #ServirlesDeCorazón https://t.co/RAzlSxZ7jy
"	"Good morning, friends, I just made an appeal to the Federal Government to take immediate action for the protection and conservation of the jaguar. An emblematic species of our country 🇲🇽 that is in danger of extinction. # ServirlesDeCorazón https://t.co/RAzlSxZ7jy
"	1	😀
 MartinEsp_17	" Celebramos el #DíaMundialDeLosOcéanos que son los pulmones de nuestro planeta, 🌎generan la mayoría del oxígeno que respiramos.  Debemos unirnos con el objetivo de la gestión sostenible de los océanos, que son una fuente esencial de la biosfera.🌊 #ServirlesDeCorazón https://t.co/gWWqLKBpfZ
"	"We celebrate #WorldOceansDay, which are the lungs of our planet, 🌎generate most of the oxygen we breathe. We must unite with the objective of sustainable management of the oceans, which are an essential source of the biosphere. # ServirlesDeCorazón https://t.co/gWWqLKBpfZ
"	1	😀
 MartinEsp_17	" Hoy en el #DíaDelMedioAmbiente el tema principal es sobre la “Contaminación del aire” para combatir el grave problema que afecta a millones de personas en todo el 🌎. Los ciudadanos es el principal sector que debe respetar y hacer respetar el medio ambiente.  #ServirlesDeCorazón https://t.co/SQBBj6D605
"	"Today on # DíaDelMedioAmbiente the main topic is on ""Air Pollution"" to combat the serious problem that affects millions of people throughout the 🌎. Citizens are the main sector that must respect and ensure respect for the environment. # ServirlesDeCorazón https://t.co/SQBBj6D605
"	1	😀
 MartinEsp_17	" El desbordamiento del río Apango en el municipio de San Gabriel, Jalisco, ha causado severos daños. Seamos solidarios y apoyemos a l@s afectad@s. La Naturaleza nos muestra señales del deterioro ambiental. #ServirlesDeCorazon https://t.co/CvIIMY3bpD
"	"The overflow of the Apango river in the municipality of San Gabriel, Jalisco, has caused severe damage. Let us be in solidarity and support those affected. Nature shows us signs of environmental deterioration. #ServirlesDeCorazon https://t.co/CvIIMY3bpD
"	-1	😠
 MartinEsp_17	" Más de un millón de especies de flora y fauna están el peligro de extinción.  La biodiversidad es esencial para la existencia humana y conservación de la vida. 🦅🐳🐬🌳🌵🌲  Concienticemos sobre el grave peligro que ocurre en nuestro hogar llamado tierra. 🌏 #ServirlesDeCorazón https://t.co/AOQuvWHlAc
"	"More than a million species of flora and fauna are in danger of extinction. Biodiversity is essential for human existence and the conservation of life. 🦅🐳🐬🌳🌵🌲 Let us raise awareness about the serious danger that occurs in our home called earth. 🌏 # ServirlesDeCorazón https://t.co/AOQuvWHlAc
"	-1	😠
 MartinEsp_17	" La polinización es fundamental para la supervivencia de los ecosistemas, así como la producción de muchos cultivos y plantas. 🌺🌻  Protejamos y conservemos a las abejas 🐝 que son indispensables para conservar la biodiversidad del mundo. 🌎 #ServirlesDeCorazón https://t.co/FBurhh6pUh
"	"Pollination is essential for the survival of ecosystems, as well as the production of many crops and plants. 🌺🌻 Let's protect and conserve bees 🐝 that are essential to conserve the world's biodiversity. 🌎 # ServirlesDeCorazón https://t.co/FBurhh6pUh
"	1	😀
 MartinEsp_17	" El desarrollo sostenible, la Paz y los Derechos Humanos son fundamentales para preservar los valores y la cooperación internacional.  El multilateralismo significa reforzar nuestro compromiso para un desarrollo sostenible y de construir un 🌎 más seguro. #ServirlesDeCorazón https://t.co/lGibVobxTQ
"	"Sustainable development, Peace and Human Rights are fundamental to preserve values ​​and international cooperation. Multilateralism means reinforcing our commitment to sustainable development and building a more secure 🌎. # ServirlesDeCorazón https://t.co/lGibVobxTQ
"	1	😀
 MartinEsp_17	" Hoy se conmemora el 81 aniversario de la expropiación petrolera, que se realizó por decreto del entonces Presidente Lázaro Cárdenas del Río. El petróleo es de 🇲🇽 y de l@s mexican@s.  #ServirlesDeCorazón #ExpropiaciónPetrolera https://t.co/liy7sfS3cq
"	"Today marks the 81st anniversary of the oil expropriation, which was carried out by decree of then President Lázaro Cárdenas del Río. The oil belongs to 🇲🇽 and to the Mexicans. # Serve themDeHeart # ExpropriationPetrolera https://t.co/liy7sfS3cq
"	0	😐
 MartinEsp_17	" Hoy es el #DíaMundialDeLaVidaSilvestre, nuestro 🇲🇽 es el tercer país con más biodiversidad en el 🌎.  Promovamos concientización sobre la importancia crucial de las especies marinas y todas para un desarrollo sustentable y conserva nuestro hogar.  #ServirlesDeCorazón https://t.co/BaprIRaemR
"	"Today is # WorldWildLifeDay, our 🇲🇽 is the third most biodiverse country in the 🌎. Let us promote awareness of the crucial importance of marine species and all of them for a sustainable development and conserve our home. # ServirlesDeCorazón https://t.co/BaprIRaemR
"	1	😀
 yola_guerrerob	" Conmemoramos el Día Mundial de la Eficiencia Energética 💡 para resaltar la importancia del ahorro de energía. Debemos sumar esfuerzos para aprovechar de forma sustentable ♻️ este recurso y enfrentar los efectos del cambio climático. #YolaTuDiputada❤️ https://t.co/3zM3VHnjrN
"	"We commemorate World Energy Efficiency Day 💡 to highlight the importance of saving energy. We must join forces to take advantage of this resource in a sustainable way ♻️ and face the effects of climate change. # YolaTuDiputada❤️ https://t.co/3zM3VHnjrN
"	1	😀
 yola_guerrerob	" ‼️ El principal problema del #RíoLerma es la contaminación, esta ha aumentado en los últimos años y ha provocado graves enfermedades, además afecta cosechas y ganado, se necesita una planta de tratamiento de aguas residuales para el saneamiento del Río.  #YolaTuDiputada❤️ https://t.co/WbHJVbFhLr
"	"‼ ️ The main problem of # RíoLerma is pollution, this has increased in recent years and has caused serious diseases, it also affects crops and livestock, a wastewater treatment plant is needed for the sanitation of the River. # YolaTuDiputada❤️ https://t.co/WbHJVbFhLr
"	-1	😠
 yola_guerrerob	" Celebramos el #DíaMundialDeLosAnimales con el fin de crear conciencia y respetar los diferentes hábitats y ecosistemas. Nosotros podemos frenar la extinción de muchas especies si respetamos el lugar donde habitan. #YolaTuDiputada❤️ https://t.co/gXz0fpQHvu
"	"We celebrate #WorldAnimalsDay in order to raise awareness and respect different habitats and ecosystems. We can stop the extinction of many species if we respect the place where they live. # YolaTuDiputada❤️ https://t.co/gXz0fpQHvu
"	1	😀
 yola_guerrerob	" En la #CámaraDeDiputados tenemos visión a futuro, con nuestra #EstrategiaLegislativa2030 nos alineamos a los Objetivos de Desarrollo Sostenible para construir juntos un México mejor. 👉https://t.co/0hoijyx1se #YolaTuDiputada❤️ https://t.co/JSnJoeAuuD
"	"In the # Chamber of Deputies we have a vision for the future, with our # Legislative Strategy2030 we align ourselves with the Sustainable Development Goals to build a better Mexico together. 👉https: //t.co/0hoijyx1se # YolaTuDiputada❤️ https://t.co/JSnJoeAuuD
"	1	😀
 yola_guerrerob	" El Día Mundial del Medio Ambiente 🌎 se conmemora con el fin de crear conciencia sobre lo importante que es cuidar nuestros ecosistemas y la biodiversidad #YolaTuDiputada❤️ https://t.co/0FX9hPNMzL
"	"World Environment Day 🌎 is commemorated in order to raise awareness about how important it is to take care of our ecosystems and biodiversity # YolaTuDiputada❤️ https://t.co/0FX9hPNMzL
"	1	😀
 yola_guerrerob	" La Tierra se está tomando un respiro, hay muchas especies que se encuentran en peligro de extinción, por lo que debemos replantearnos las acciones que hacemos en favor de nuestros ecosistemas. #YolaTuDiputada❤️ https://t.co/KYNtkkVtlQ
"	"The Earth is taking a breather, there are many species that are in danger of extinction, so we must rethink the actions we do in favor of our ecosystems. # YolaTuDiputada❤️ https://t.co/KYNtkkVtlQ
"	-1	😠
